Name,D (Mpc),D_err (Mpc),q (b/a),Incl (deg),Mbar,M_gas,M*(g-r),g-r,Rh,Mh,Mh_err,M_Re,Me_gmr,Me_gmrerr,M_R235,M235_gmr,M235_gmrerr,M1kpc_gmr,M1kpc_gmrerr,Rho_h,Rho_e
GASS3261,160.6,8.03,0.1305,0,35572584617.73921,13065560211.157894,22507024406.581318,0.6630000000000003,2.348967418289869,11253512203.290659,2576910350.0171685,2.6620680697819217,13092053079.042559,3891216320.7213473,6.533583191249234,20393462151.634243,6554019406.116245,3564586055.0135255,684177120.6446317,439.3453770481329,298.94836863256376
DDO168,4.3,0.86,0.5063,61.65923809365971,36616506.86205342,0.0,36616506.86205342,0.26000000000000156,1.2900337553215,18308253.43102671,12976525.289965956,1.4059035839224612,20753665.33238399,15267531.382802704,1.5518630918223524,24443863.832275048,17260183.02410221,13340590.1629468,9472281.126845464,5.269901785426726,4.594959780555443
GASS7031,141.8,7.090000000000001,0.744,42.996835484503926,44891624885.42828,1845559433.9789667,43046065451.44932,0.8889999999999993,1.7101712721394018,21523032725.72466,5231014617.070574,2.8940878322126515,29608899038.570225,7621250213.719053,10.634088623969848,41946876814.60044,11859108294.388771,14364003067.43526,3509837121.5686035,2195.267152257778,927.2809794801962
GASS11349,109.6,5.48,0.4886,62.936099848538554,22575613038.799488,1607415070.0956376,20968197968.70385,0.6600000000000001,3.9226975733649394,10484098984.351925,3047067195.4453154,3.9741571831266596,10657982542.671757,3047067195.4453154,9.053357845923369,19191764820.62318,3987153633.631367,3214370506.6697135,630516515.9140426,250.91518474995345,242.33971191880377
DDO154,4.3,0.86,0.4804,63.52576331240456,502639024.6716212,493780000.00000006,8859024.67162116,0.18100000000000094,0.6688561170951441,4429512.33581058,3363618.053269227,0.7380021168230362,5076219.104423361,3898256.6677825004,0.5661955104060866,3427569.560435284,2593185.3973652525,6989102.002151949,5592036.014748258,3.783403388114092,2.9446822857323887
NGC4559,9.0,0.45,0.5997,54.75839708312519,12461683934.944729,8135399999.999999,4326283934.944731,0.47000000000000064,2.1726671697740243,2163141967.4723654,440983695.0027784,3.806691539334107,2839999417.900258,544027386.1613739,7.086578645854137,4193121030.2228146,897830127.6913843,886484381.0606203,167725747.59608904,126.51194924962027,92.1703014848995
UGC01230,53.7,5.370000000000001,0.3156,75.5714616281277,2151198921.0870533,0.0,2151198921.0870533,0.5080000000000009,4.241550443798079,1075599460.5435266,414013025.5304347,6.676436713619321,1529880792.2526286,614962695.257758,3.1905294210900013,866969254.2975197,350081687.4027623,181710794.1443512,70613601.98426175,13.86260220421578,6.83047644230557
DDO185,5.1,1.02,0.7022,46.607223276904286,250322077.13558745,173600000.0,76722077.13558745,0.41999999999999993,1.4135186876309744,38361038.56779373,28469844.18360289,1.6693418559076907,44848957.209397286,32118902.516900692,1.5415316904726322,41684189.97469068,30028724.62179689,26394816.801716596,19200365.714965157,9.052832913021534,7.84720504737565
UGC06667,7.85,1.9625,0.8541,32.061811824660026,551504877.9402268,135249063.0,416255814.9402268,0.6489999999999991,2.1492287798413314,208127907.47011337,181216459.44119543,2.2293714829570592,217838652.54704568,189558032.38668627,3.3268485401299985,330537484.1116554,287123001.6231349,111742389.32525136,97613228.48065808,58.322972194615055,54.1785432063918
GASS4094,118.2,5.91,0.5321,59.78472925359311,57075232129.48723,805615912.2720193,56269616217.21521,0.8910000000000018,1.5259817187297986,28134808108.607605,5452107568.220564,1.9450461992666686,31289710535.426044,5750170773.042157,8.405976974001849,54444247226.992355,15487813510.029371,21892818837.130592,4330807825.57774,1466.0768500765917,1019.2931587852817
